How much interest do you have in the following information [learning how to make decision using statistics],How much interest do you have in the following information [gaining a statistical literacy],How much interest do you have in the following information [understanding the nature of data],How much interest do you have in the following information [learning the idea of hypothesis testing],How much interest do you have in the following information [understanding the nature of simulation based inference],How much interest do you have in the following information [integrating statistical knowledge to my future profession],How much interest do you have in the following information [knowing why statistics is relevant to my major],I find Statistics interesting., I generally have fun when I am learning Statistics topics.,I am happy working on Statistics topics.,Studying Statistics is worthwhile for me because what I learn will improve my career prospects.,I had trouble understanding Statistics because of how I think. ,I had no idea of what was going on in this Statistics course. ,I made a lot of math errors in Statistics. ,One of my main difficulties in learning Statistics was all of the equations. ,I found it difficult to understand statistical concepts. ,I am willing to seek help when I am struggling academically (e.g. asking a tutor/professor/classmate). ,I often need(ed) guidance to understand Statistics. ,"When Statistics became challenging, I stopped trying. ",I often “felt dumb” during this class. ,Did your confidence in statistics go up or down after taking this course?,Please explain your answer to the previous question.,What could the course have done differently to increase your confidence in your abilities?,How do you identify yourself?
Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,Not at all interested;Slightly interested,5,5,6,5,4,2,1,5,5,7,2,1,1,Up,"I took AP statistics during high school but we were not taught Program R, so learning about it in this course really made me feel confident about Statistics. ",Nothing! ,Woman
Not at all interested;Slightly interested,Slightly interested,Not at all interested,Slightly interested,Slightly interested,Neutral,Neutral,5,5,4,4,3,2,4,4,4,6,3,1,1,Up,"This actually my second time taking this course and I feel like the professor I had this time was much better at explaining the topics and was always so happy to help her students, unlike my previous professor who did not explain concepts clearly and often made me feel dumb when asking questions ",I believe this course did all it could for me to increase my confidence. ,Woman
Interested,Interested,Interested,Interested,Interested,Interested,Interested,6,6,6,7,2,1,2,4,3,6,4,2,1,Up,"To be honest my confidence went up becasue this is the second time that I have taken this course and I honestly lost alot of confidence when I took this class the first time. I don't think I had the best professor the last time that I took the class in addition the way that he taught was very difficult for me to understand and I think he excepted too much from the students> It didnt feel like a STATS 218 class it felt more like a STAT 400 class. 

My experience with this class has changed my perspective on STATS 218 I really enjoyed taking this class especially with having Professor Dermici as my professor. She always there to help her students and the way that she taught the course made it easy and enjoyable for me to understand. I wish I had taken the course with Professor Dermici the last time. ",Honestly I really enjoyed this class and there really isn't anything that could have been done differently. ,Woman
Interested,Very Interested,Very Interested,Interested,Interested,Interested,Very Interested,6,4,4,7,5,4,6,4,7,7,6,2,4,Up,"This was my first statistic course so I went in with little to no confidence but after completing this course, I gained more confidence in my statistical skills.",I think it would have increased my confidence if it was 10 weeks instead of 5 weeks so I could have more time to process the information.,Woman
Neutral;Interested,Interested,Interested;Very Interested,Interested,Interested,Interested,Interested,5,5,4,7,4,3,4,5,4,6,3,3,3,No change,I felt like I had a good understanding throughout the class since I took statistics in high school but some topics were difficult to understand.,Sometimes it was hard to stay focused so maybe including/asking the class to participate more. Having that feeling of being asked a question at any moment increases focus and helps with confidence. ,Woman
Neutral,Interested,Interested,Neutral,Neutral,Interested,Very Interested,5,3,5,3,6,3,3,6,6,6,4,3,5,Up,I am more confortable with using R now and understand the basics of experimental design and analyzing data. ,,Woman
Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,3,2,2,3,3,3,3,4,4,4,4,4,3,Up,i said up because it was my first time taking a stats class ,,Woman
Very Interested,Very Interested,Very Interested,Very Interested,Interested,Very Interested,Interested,7,6,7,5,2,1,2,2,1,7,6,1,1,Up,"I had taken a course for stats in high school, but it was during covid so I never felt like I truly understood this topic. However after taking this class I feel like it really solidified my knowledge and definitely made the concepts make much more sense.","Nothing, in the 5 weeks we had I believe that we utilized it really well.",Man
Interested,Interested,Interested,Neutral,Neutral,Neutral,Not at all interested,4,4,4,5,6,3,5,4,6,7,5,4,4,Down,"i did really well this past year, but i was burnt out while taking this and felt stupid because i had a hard time understanding thing other people say are so easy",nothing it was more of a personal matter,Woman
Interested,Interested,Interested,Interested,Interested,Interested,Interested,4,4,4,4,5,3,4,5,4,2,5,2,4,Up,i definitely felt like i learned a ton in this course ,,Woman
Interested,Very Interested,Very Interested,Interested,Interested,Interested,Very Interested,6,4,4,5,3,2,4,6,4,3,4,1,5,Up,I definitely have more knowledge regarding statistics than I had before,,Woman
Interested,Neutral,Very Interested,Interested,Slightly interested,Neutral,Interested,5,4,4,3,5,2,5,5,3,5,4,4,5,No change,"I felt this course to be challenging but doable, I did not meet my personal goals but I can say I truly tried. ",In class practice problems ,Woman
Interested,Interested,Interested,Interested,Interested,Neutral,Neutral,5,5,6,4,1,1,2,3,2,7,5,1,2,Up,I felt like I knew what I was doing throughout the majority of the course. ,More in class follow along solving questions ,Woman
