How much interest do you have in the following information [learning how to make decision using statistics],How much interest do you have in the following information [gaining a statistical literacy],How much interest do you have in the following information [understanding the nature of data],How much interest do you have in the following information [learning the idea of hypothesis testing],How much interest do you have in the following information [understanding the nature of simulation based inference],How much interest do you have in the following information [integrating statistical knowledge to my future profession],How much interest do you have in the following information [knowing why statistics is relevant to my major],I find Statistics interesting., I generally have fun when I am learning Statistics topics.,I am happy working on Statistics topics.,Studying Statistics is worthwhile for me because what I learn will improve my career prospects.,I had trouble understanding Statistics because of how I think. ,I had no idea of what was going on in this Statistics course. ,I made a lot of math errors in Statistics. ,One of my main difficulties in learning Statistics was all of the equations. ,I found it difficult to understand statistical concepts. ,I am willing to seek help when I am struggling academically (e.g. asking a tutor/professor/classmate). ,I often need(ed) guidance to understand Statistics. ,"When Statistics became challenging, I stopped trying. ",I often “felt dumb” during this class. ,Did your confidence in statistics go up or down after taking this course?,Please explain your answer to the previous question.,What could the course have done differently to increase your confidence in your abilities?,How do you identify yourself?
Interested,Interested,Interested,Interested,Interested,Interested,Interested,5,5,5,7,6,1,2,3,3,6,5,1,3,Up,Before I took this course I had no appreciation for statistic but after taking it I now value its importance ,the course was good ,Man
Neutral,Interested,Interested,Interested,Interested,Interested,Interested,3,5,4,3,6,3,4,6,6,4,6,1,7,Up,This is my second time taking STATS and I definelty feel more confident and like I learned something. ,Gone to office hours. ,Woman
Very Interested,Interested,Interested,Interested,Neutral,Interested,Very Interested,4,5,4,3,4,5,7,3,4,3,5,4,6,Down,I found there to be times when there was no change I felt like okay maybe I will understand later on. But as the course progressed I was not understanding and I was seeming to fall even further behind than my peers because I was still struggling to grasp or even remember the concepts we learnt about in week one which arguably are the entire base of the class.,The course did was it was supposed to and I don’t think it should have turned out this way for me but it is a personal thing that I need to overcome and actually begin asking for help when I don't understand.,Woman
Interested,Very Interested,Interested,Very Interested,Neutral,Interested,Neutral,5,4,3,6,4,3,5,6,5,5,5,3,4,Up,"I found this class pretty useful because now I can understand the statistical portions of research papers, which gives me a lot more context as to how researchers drew their conclusions",,Woman
Neutral,Not at all interested,Not at all interested,Slightly interested,Slightly interested,Slightly interested,Slightly interested,3,2,2,1,6,4,3,4,4,4,5,5,7,No change,"I have always strugglged with stats and any math class in general. I dont think there was any change in my confidence, if anything I just felt super nervous during the presentation. ","I dont think anything, I just have bad anxiety and anything math related makes me nervous. ",Woman
Neutral,Interested,Neutral,Neutral,Neutral,Interested,Neutral,4,2,3,4,5,5,5,3,5,2,5,7,6,Up,i failed another statistics class so i was anxious to take this class again but i feel a little better after completing the class the second time with this professor ,,Woman
Very Interested,Interested,Very Interested,Very Interested,Very Interested,Neutral,Neutral,6,4,5,7,5,2,3,5,4,7,2,1,4,No change,I've never taken statistics before and knew it would be a little difficult for me especially within a 5 week course period so I came in with neutral confidence.,Perhaps give midterm/ final study guides.,Woman
Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,Very Interested,6,7,7,6,4,2,3,3,4,7,4,2,2,Up,"Honestly after taking STATS in highschool (a year ago) this class genuinely teach me way more therefore, I know i understood it way better. ","Definitely gone to office hours more. The reason I couldn’t go was because of work however, I should have emailed my professor instead of just always asking peers - most of the time professors are willing to help with anything! ",Woman
Slightly interested,Interested,Interested,Not at all interested,Not at all interested,Interested,Interested,4,3,2,5,1,1,2,1,2,7,2,1,1,Up,,,Woman
Interested,Interested,Neutral,Interested,Slightly interested,Interested,Interested,5,4,4,5,3,5,3,4,6,6,6,3,5,No change,I had a lot going on this summer and it was really hard for me to keep up with this class. ,I would've taken this class maybe during the year or I would've not taken an internship during the summer. ,Woman
Slightly interested,Slightly interested,Interested,Not at all interested,Not at all interested,Slightly interested,Slightly interested,4,3,3,5,5,4,5,5,5,4,4,2,5,No change,I'd say there was no change in my confidence because I went in with pretty low confidence and expectations and I pretty much did as well as I thought I would.,,Woman
Interested,Interested,Interested,Neutral,Neutral,Neutral;Interested,Very Interested,5,4,5,6,2,1,4,4,3,6,4,1,2,Up,"When I took statistics in high school I was always and consistently studying and struggling to keep up, but taking this class and watching lectures, reading the textbook as well as previous knowledge it helped me and my understanding for this course. ",Something to help increase my confidence in my abilities was give more practice problems before the exams and quizzes as extra help in preparation for the exam.  ,Woman
Interested,Slightly interested,Interested,Interested,Interested,Interested,Interested,4,4,4,4,7,4,2,2,6,5,3,2,4,Up,"I had a hard time initially with the course, especially with the midterm, but I took that as a wake up call to really try get the most out of lecture and the textbook which allowed me to really feel confident in my statistic skills by the end of this course. ","I really liked how the equation sheets were formatted, as they helped me realize the difference between each type of data structure we learned. I think seeing the equation sheets for the final and midterm earlier in the course could help me better understand topics. ",Woman
Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Not at all interested,Neutral,2,2,2,2,5,3,4,4,4,3,4,3,3,No change,I based my answer off of high school statistics that was taken by me in the past. That was neither hard or easy.,I could have studied harder.,Man
Interested,Very Interested,Interested,Neutral,Neutral,Very Interested,Interested,6,5,4,6,6,2,6,5,5,7,7,3,4,Up,"I feel that my confidence went up because I put in lots of work. I was able to fully understand a lot of concepts that I had no idea before. I felt that my confidence also increased becuase I found myself being the one that people asked help for when doing the labs and worksheets. Typically I always thought I was bad and ""dumb"" when it came to math and statistics. ",I think Dr. Demirci was one of the nices and most willing to help professors I have had. Although this was a summer sesssion and a very fast one I felt that I learned a lot and made connectons that I am beyong thanful for. I do not think that there was anything that she could have done as she was always willing to help and provide extra support if you needed and seeked it. Like I did. ,Woman
Slightly interested,Interested,Interested,Interested,Neutral,Interested,Very Interested,6,6,6,7,3,2,4,3,3,6,5,2,2,Up,"I've taken statistics as a course in the past, I feel more confident in my abilities to answer some questions that relate to this course's material after having taken the course. ","I believe the course did what it was supposed to, and the Professor was efficient in her use of time during lectures, in her answering of students' questions, and in the kind of classwork she assigned.",Man
